sentence,aspect_term,sentiment,source_file
I charge it at night and skip taking the cord with me because of the good battery life.,cord,neutral,Laptop_Train_v2.csv
I charge it at night and skip taking the cord with me because of the good battery life.,battery life,positive,Laptop_Train_v2.csv
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",service center,negative,Laptop_Train_v2.csv
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","""sales"" team",negative,Laptop_Train_v2.csv
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",tech guy,neutral,Laptop_Train_v2.csv
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",quality,positive,Laptop_Train_v2.csv
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",GUI,positive,Laptop_Train_v2.csv
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",applications,positive,Laptop_Train_v2.csv
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",use,positive,Laptop_Train_v2.csv
Easy to start up and does not overheat as much as other laptops.,start up,positive,Laptop_Train_v2.csv
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",features,positive,Laptop_Train_v2.csv
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",iChat,positive,Laptop_Train_v2.csv
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",Photobooth,positive,Laptop_Train_v2.csv
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",garage band,positive,Laptop_Train_v2.csv
Great laptop that offers many great features!,features,positive,Laptop_Train_v2.csv
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",GUI,negative,Laptop_Train_v2.csv
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",screen,negative,Laptop_Train_v2.csv
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",power light,neutral,Laptop_Train_v2.csv
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",hard drive light,negative,Laptop_Train_v2.csv
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,battery,neutral,Laptop_Train_v2.csv
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure,positive,Laptop_Train_v2.csv
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",edge,negative,Laptop_Train_v2.csv
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures,positive,Laptop_Train_v2.csv
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",tracking area,positive,Laptop_Train_v2.csv
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",external mouse,neutral,Laptop_Train_v2.csv
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",gaming,neutral,Laptop_Train_v2.csv
I love the way the entire suite of software works together.,suite of software,positive,Laptop_Train_v2.csv
The speed is incredible and I am more than satisfied.,speed,positive,Laptop_Train_v2.csv
This laptop meets every expectation and Windows 7 is great!,Windows 7,positive,Laptop_Train_v2.csv
I can barely use any usb devices because they will not stay connected properly.,usb devices,negative,Laptop_Train_v2.csv
"-No backlit keyboard, but not an issue for me.",keyboard,conflict,Laptop_Train_v2.csv
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,software,neutral,Laptop_Train_v2.csv
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,system,negative,Laptop_Train_v2.csv
"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",Microsoft office for the mac,negative,Laptop_Train_v2.csv
Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,positive,Laptop_Train_v2.csv
"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30"" HD Monitor",positive,Laptop_Train_v2.csv
"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",screen,neutral,Laptop_Train_v2.csv
The machine is slow to boot up and occasionally crashes completely.,boot up,negative,Laptop_Train_v2.csv
"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,negative,Laptop_Train_v2.csv
"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.",battery,conflict,Laptop_Train_v2.csv
I love the operating system and the preloaded software.,operating system,positive,Laptop_Train_v2.csv
I love the operating system and the preloaded software.,preloaded software,positive,Laptop_Train_v2.csv
The best thing about this laptop is the price along with some of the newer features.,price,positive,Laptop_Train_v2.csv
The best thing about this laptop is the price along with some of the newer features.,features,positive,Laptop_Train_v2.csv
"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",clock in BIOS setup,negative,Laptop_Train_v2.csv
YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,WARRANTY SERVICE,negative,Laptop_Train_v2.csv
but now i have realized its a problem with this brand.,brand,negative,Laptop_Train_v2.csv
I sent it back to Toshiba twice they covered it under the  warranty.,warranty,positive,Laptop_Train_v2.csv
I was looking for a mac which is portable and has all the features that I was looking for.,features,positive,Laptop_Train_v2.csv
Also kinda loud when the fan was running.,fan,negative,Laptop_Train_v2.csv
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",Customer Service number,neutral,Laptop_Train_v2.csv
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",warranty,negative,Laptop_Train_v2.csv
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",talking to a technician,negative,Laptop_Train_v2.csv
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,hard disc,negative,Laptop_Train_v2.csv
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,windows,negative,Laptop_Train_v2.csv
