sentence,aspect_term,sentiment,source_file
The battery is bad but the camera is excellent,battery,negative,data/sample_reviews.csv
The battery is bad but the camera is excellent,camera,positive,data/sample_reviews.csv
Great food and friendly staff,food,positive,data/sample_reviews.csv
Great food and friendly staff,staff,positive,data/sample_reviews.csv
The display is beautiful but battery life is poor,display,positive,data/sample_reviews.csv
The display is beautiful but battery life is poor,battery life,negative,data/sample_reviews.csv
Excellent product with good build quality,product,positive,data/sample_reviews.csv
Excellent product with good build quality,build quality,positive,data/sample_reviews.csv
The price is too high,price,negative,data/sample_reviews.csv
"Service was decent, nothing special",service,neutral,data/sample_reviews.csv
Amazing camera quality but mediocre performance,camera quality,positive,data/sample_reviews.csv
Amazing camera quality but mediocre performance,performance,negative,data/sample_reviews.csv
Poor customer service and bad warranty,customer service,negative,data/sample_reviews.csv
Poor customer service and bad warranty,warranty,negative,data/sample_reviews.csv
The interface is intuitive and responsive,interface,positive,data/sample_reviews.csv
The interface is intuitive and responsive,responsiveness,positive,data/sample_reviews.csv
Battery drains quickly,battery,negative,data/sample_reviews.csv
Screen is scratched easily,screen,negative,data/sample_reviews.csv
Good value for money,value,positive,data/sample_reviews.csv
The keyboard is uncomfortable,keyboard,negative,data/sample_reviews.csv
Excellent features but confusing menu,features,positive,data/sample_reviews.csv
Excellent features but confusing menu,menu,negative,data/sample_reviews.csv
Best buy of the year,product,positive,data/sample_reviews.csv
Screen is too small for the price,screen,negative,data/sample_reviews.csv
Support team was very helpful,support team,positive,data/sample_reviews.csv
Charging cable breaks too often,charging cable,negative,data/sample_reviews.csv
Colors are vibrant and accurate,colors,positive,data/sample_reviews.csv
Touchscreen is sometimes unresponsive,touchscreen,negative,data/sample_reviews.csv
Spacious and well-designed,design,positive,data/sample_reviews.csv
Gets hot after prolonged use,temperature,negative,data/sample_reviews.csv
Lightweight and portable,portability,positive,data/sample_reviews.csv
Buttons feel cheap and plasticky,buttons,negative,data/sample_reviews.csv
Great battery life overall,battery life,positive,data/sample_reviews.csv
Speakers sound crystal clear,speakers,positive,data/sample_reviews.csv
Processor is fast and smooth,processor,positive,data/sample_reviews.csv
Microphone picks up too much background noise,microphone,negative,data/sample_reviews.csv
Storage capacity is impressive,storage,positive,data/sample_reviews.csv
Camera night mode is exceptional,camera,positive,data/sample_reviews.csv
WiFi connection drops frequently,wifi,negative,data/sample_reviews.csv
Display is vibrant with great colors,display,positive,data/sample_reviews.csv
Fan noise is annoying during gaming,fan,negative,data/sample_reviews.csv
Memory management is excellent,memory,positive,data/sample_reviews.csv
Warranty coverage is disappointing,warranty,negative,data/sample_reviews.csv
Build feels solid and premium,build,positive,data/sample_reviews.csv
Cooling system could be better,cooling,negative,data/sample_reviews.csv
Text is crisp and clear on screen,display,positive,data/sample_reviews.csv
Applications load instantly,performance,positive,data/sample_reviews.csv
Design could be more ergonomic,design,negative,data/sample_reviews.csv
Audio quality exceeds expectations,audio,positive,data/sample_reviews.csv
Trackpad is responsive and accurate,trackpad,positive,data/sample_reviews.csv
Plastic feels cheap and flimsy,materials,negative,data/sample_reviews.csv
Boot time is incredibly fast,performance,positive,data/sample_reviews.csv
Updates are frequency but buggy,updates,negative,data/sample_reviews.csv
Keyboard typing experience is excellent,keyboard,positive,data/sample_reviews.csv
Overheats when under heavy load,heat,negative,data/sample_reviews.csv
Display refresh rate is smooth,display,positive,data/sample_reviews.csv
Customer service representatives are knowledgeable,customer service,positive,data/sample_reviews.csv
Screen protector application left bubbles,screen protector,negative,data/sample_reviews.csv
Battery lasts all day easily,battery,positive,data/sample_reviews.csv
Mute button location is inconvenient,design,negative,data/sample_reviews.csv
Colors pop beautifully on screen,display,positive,data/sample_reviews.csv
Controls are intuitive and simple,controls,positive,data/sample_reviews.csv
Bloatware comes pre-installed,software,negative,data/sample_reviews.csv
Lens quality is outstanding,lens,positive,data/sample_reviews.csv
Fingerprints show easily on shell,materials,negative,data/sample_reviews.csv
Software updates improve performance,software,positive,data/sample_reviews.csv
Hardware reliability is questionable,hardware,negative,data/sample_reviews.csv
Network connectivity is stable,connectivity,positive,data/sample_reviews.csv
User interface is clunky and slow,interface,negative,data/sample_reviews.csv
Graphics rendering is smooth,graphics,positive,data/sample_reviews.csv
Sound distorts at high volume,audio,negative,data/sample_reviews.csv
Memory never fills up with usage,memory,positive,data/sample_reviews.csv
Plastic back cracks easily,durability,negative,data/sample_reviews.csv
Display brightness is fantastic,display,positive,data/sample_reviews.csv
Frame rate drops during games,performance,negative,data/sample_reviews.csv
Built-in storage provides enough space,storage,positive,data/sample_reviews.csv
Missing essential accessories,accessories,negative,data/sample_reviews.csv
Camera produces sharp detailed photos,camera,positive,data/sample_reviews.csv
Battery charges slowly,battery,negative,data/sample_reviews.csv
Operating system is very stable,os,positive,data/sample_reviews.csv
Hard to clean hidden areas,design,negative,data/sample_reviews.csv
Screen resolution is incredibly sharp,display,positive,data/sample_reviews.csv
Lag appears occasionally,performance,negative,data/sample_reviews.csv
Expandable storage is convenient,storage,positive,data/sample_reviews.csv
Speaker placement causes muffled sound,speakers,negative,data/sample_reviews.csv
Fast and snappy all around,speed,positive,data/sample_reviews.csv
Gets very slippery without case,materials,negative,data/sample_reviews.csv
Color reproduction is accurate,display,positive,data/sample_reviews.csv
Freezes randomly without warning,stability,negative,data/sample_reviews.csv
Paint easily scrapes off,durability,negative,data/sample_reviews.csv
Scientific color accuracy,display,positive,data/sample_reviews.csv
I charge it at night and skip taking the cord with me because of the good battery life.,cord,neutral,data/semeval_2014_absa.csv
I charge it at night and skip taking the cord with me because of the good battery life.,battery life,positive,data/semeval_2014_absa.csv
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",service center,negative,data/semeval_2014_absa.csv
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","""sales"" team",negative,data/semeval_2014_absa.csv
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",tech guy,neutral,data/semeval_2014_absa.csv
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",quality,positive,data/semeval_2014_absa.csv
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",GUI,positive,data/semeval_2014_absa.csv
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",applications,positive,data/semeval_2014_absa.csv
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",use,positive,data/semeval_2014_absa.csv
Easy to start up and does not overheat as much as other laptops.,start up,positive,data/semeval_2014_absa.csv
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",features,positive,data/semeval_2014_absa.csv
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",iChat,positive,data/semeval_2014_absa.csv
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",Photobooth,positive,data/semeval_2014_absa.csv
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",garage band,positive,data/semeval_2014_absa.csv
Great laptop that offers many great features!,features,positive,data/semeval_2014_absa.csv
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",GUI,negative,data/semeval_2014_absa.csv
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",screen,negative,data/semeval_2014_absa.csv
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",power light,neutral,data/semeval_2014_absa.csv
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",hard drive light,negative,data/semeval_2014_absa.csv
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,battery,neutral,data/semeval_2014_absa.csv
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure,positive,data/semeval_2014_absa.csv
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",edge,negative,data/semeval_2014_absa.csv
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures,positive,data/semeval_2014_absa.csv
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",tracking area,positive,data/semeval_2014_absa.csv
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",external mouse,neutral,data/semeval_2014_absa.csv
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",gaming,neutral,data/semeval_2014_absa.csv
I love the way the entire suite of software works together.,suite of software,positive,data/semeval_2014_absa.csv
The speed is incredible and I am more than satisfied.,speed,positive,data/semeval_2014_absa.csv
This laptop meets every expectation and Windows 7 is great!,Windows 7,positive,data/semeval_2014_absa.csv
I can barely use any usb devices because they will not stay connected properly.,usb devices,negative,data/semeval_2014_absa.csv
"-No backlit keyboard, but not an issue for me.",keyboard,conflict,data/semeval_2014_absa.csv
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,software,neutral,data/semeval_2014_absa.csv
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,system,negative,data/semeval_2014_absa.csv
"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",Microsoft office for the mac,negative,data/semeval_2014_absa.csv
Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,positive,data/semeval_2014_absa.csv
"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30"" HD Monitor",positive,data/semeval_2014_absa.csv
"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",screen,neutral,data/semeval_2014_absa.csv
The machine is slow to boot up and occasionally crashes completely.,boot up,negative,data/semeval_2014_absa.csv
"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,negative,data/semeval_2014_absa.csv
"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.",battery,conflict,data/semeval_2014_absa.csv
I love the operating system and the preloaded software.,operating system,positive,data/semeval_2014_absa.csv
I love the operating system and the preloaded software.,preloaded software,positive,data/semeval_2014_absa.csv
The best thing about this laptop is the price along with some of the newer features.,price,positive,data/semeval_2014_absa.csv
The best thing about this laptop is the price along with some of the newer features.,features,positive,data/semeval_2014_absa.csv
"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",clock in BIOS setup,negative,data/semeval_2014_absa.csv
YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,WARRANTY SERVICE,negative,data/semeval_2014_absa.csv
but now i have realized its a problem with this brand.,brand,negative,data/semeval_2014_absa.csv
I sent it back to Toshiba twice they covered it under the  warranty.,warranty,positive,data/semeval_2014_absa.csv
I was looking for a mac which is portable and has all the features that I was looking for.,features,positive,data/semeval_2014_absa.csv
Also kinda loud when the fan was running.,fan,negative,data/semeval_2014_absa.csv
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",Customer Service number,neutral,data/semeval_2014_absa.csv
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",warranty,negative,data/semeval_2014_absa.csv
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",talking to a technician,negative,data/semeval_2014_absa.csv
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,hard disc,negative,data/semeval_2014_absa.csv
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,windows,negative,data/semeval_2014_absa.csv
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,drivers,neutral,data/semeval_2014_absa.csv
Drivers updated ok but the BIOS update froze the system up and the computer shut down.,Drivers,positive,data/semeval_2014_absa.csv
Drivers updated ok but the BIOS update froze the system up and the computer shut down.,BIOS update,negative,data/semeval_2014_absa.csv
Drivers updated ok but the BIOS update froze the system up and the computer shut down.,system,negative,data/semeval_2014_absa.csv
Spent 2 hours on phone with HP Technical Support.,HP Technical Support,neutral,data/semeval_2014_absa.csv
"Speaking of the browser, it too has problems.",browser,negative,data/semeval_2014_absa.csv
The keyboard is too slick.,keyboard,negative,data/semeval_2014_absa.csv
Nightly my computer defrags itself and runs a virus scan.,virus scan,neutral,data/semeval_2014_absa.csv
"It's like 9 punds, but if you can look past it, it's GREAT!",9 punds,negative,data/semeval_2014_absa.csv
It's just as fast with one program open as it is with sixteen open.,program,neutral,data/semeval_2014_absa.csv
"Still under warrenty so called Toshiba, no help at all.",warrenty,negative,data/semeval_2014_absa.csv
I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,Toshiba Warranty,negative,data/semeval_2014_absa.csv
Amazing Quality!,Quality,positive,data/semeval_2014_absa.csv
The fact that you can spend over $100 on just a webcam underscores the value of this machine.,webcam,neutral,data/semeval_2014_absa.csv
The fact that you can spend over $100 on just a webcam underscores the value of this machine.,value,positive,data/semeval_2014_absa.csv
"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",internet,neutral,data/semeval_2014_absa.csv
"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",managing personal files,neutral,data/semeval_2014_absa.csv
"A month or so ago, the freaking motherboard just died.",motherboard,negative,data/semeval_2014_absa.csv
"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",system,negative,data/semeval_2014_absa.csv
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,charger,negative,data/semeval_2014_absa.csv
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,hardware,negative,data/semeval_2014_absa.csv
"If a website ever freezes (which is rare), its really easy to force quit.",force quit,positive,data/semeval_2014_absa.csv
It rarely works and when it does it's incredibly slow.,works,negative,data/semeval_2014_absa.csv
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,Windows 7,positive,data/semeval_2014_absa.csv
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,VMWare program,neutral,data/semeval_2014_absa.csv
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",operating system,positive,data/semeval_2014_absa.csv
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",runs,positive,data/semeval_2014_absa.csv
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",navigate,positive,data/semeval_2014_absa.csv
